id,name,codice_ipa,seed_domain,claimed_domain,reject_reason,old_mx,old_provider,old_reason
IT-C14-oappcm,Ordine Architetti Pianificatori Paesaggisti e Conservatori della Prov. di Macerata,oappcm,wwwarchitettimacerata.it,archiworld.it,unrelated,mx1-cnappc.innovazionedigitale.it,local-isp,"MX (mx1-cnappc.innovazionedigitale.it, mx2-cnappc.innovazionedigitale.it) hosted on Local ISP (Fastweb (IT))"
IT-C14-ocdlms,Ordine Consulenti del Lavoro Consiglio Provinciale di Massa Carrara,ocdlms,consulentidellavoroms.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-oclpal,Ordine Consulenti del Lavoro Palermo,oclpal,consulentidellavoro.pa.it,comune.palermo.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C14-odad_075,Ordine Dottori Agronomi e Dottori Forestali Di Lecce,odad_075,ordinelecce.conaf.it,odaflecce.it,unrelated,mail.odaflecce.it,aruba,"MX (mail.odaflecce.it, mxbackup1.svrsh.com) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)"
IT-C14-odadfb,Ordine Dottori Agronomi e Dottori Forestali di Brescia,odadfb,ordinebrescia.conaf.it,comune.brescia.it,unrelated,cbs-spam.comune.brescia.it,microsoft,"MX record (cbs-spam.comune.brescia.it, comune-brescia-it.mail.protection.outlook.com) matches Microsoft"
IT-C14-odadfbg,Ordine Dottori Agronomi e Dottori Forestali della Provincia di Bergamo,odadfbg,ordinebergamo.conaf.it,odafbergamo.it,unrelated,odafbergamo-it.mail.protection.outlook.com,microsoft,MX record (odafbergamo-it.mail.protection.outlook.com) matches Microsoft
IT-C14-odadfc,Ordine Dei Dottori Agronomi e Dei Dottori Forestali della Provincia di Cremona,odadfc,ordinecremona.conaf.it,associazioneprofessionisti-cr.it,unrelated,mx01.a2asmartcity.it,independent,MX is a2asmartcity gateway; backend provider unknown
IT-C14-odadfch,Ordine Dottori Agronomi e Dottori Forestali della Provincia di Chieti,odadfch,ordinechieti.conaf.it,agronomiforestalichieti.it,unrelated,mx.agronomiforestalichieti.it,aruba,MX (mx.agronomiforestalichieti.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-odadfmi,Ordine Dei Dottori Agronomi e Dei Dottori Forestali di Milano,odadfmi,ordinemilano.conaf.it,odaf.mi.it,unrelated,mx.odaf.mi.it,aruba,MX (mx.odaf.mi.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-odadfpv,Ordine Dottori Agronomi e Dottori Forestali della Provincia di Verona,odadfpv,ordineverona.conaf.it,fodafveneto.it,unrelated,fodafveneto-it.mail.protection.outlook.com,microsoft,MX record (fodafveneto-it.mail.protection.outlook.com) matches Microsoft
